Burger Name,Burger Description,Restaurant, Price ,Year,Beef,Chicken,Duck,Lamb,Pork,Seafood,Sweet,Vegetarian,Venison,Not Your Usual,Finalist,Winner
Bun's Got Seoul,"Pulled pork with kimchi, chargrilled pineapple and black garlic mayo in a housemade Zany Zeus milk bun, with kūmara crisps and chilli mayo",1815 Café & Bar, $ 22.00 ,2018,,,,,Yes,,,,,,,
Let's Get Lucky,"Beef patty with red curry sauce, papaya salad, pickled red onions and coriander, with crispy tofu skin fries",Annam Restaurant, $ 19.00 ,2018,Yes,,,,,,,,,,,
Kung Fu Chicken,"Free range chicken, five spice, orange caramel, chilli herb salad, firecracker mayo, in a 'Yin & Yang' coconut and charcoal bun with popcorn chicken, chilli and kaffir lime dust",Apachè, $ 20.00 ,2018,,Yes,,,,,,,,,,
Kāpiti Fish Fillet,"Panko crumbed smoked tuna in a soft milk bun with gribiche mayo and Kāpiti Aorangi Brie, with kūmara chips and beetroot ketchup",Artisan Dining House, $ 25.00 ,2018,,,,,,Yes,,,,,,
Aston Garden Burger,"Pulled lamb patty with Parkvale mushroom cake, microgreens and tomatoes in a Clareville Bakery beetroot bun, with handcut kūmara chips",Aston Norwood, $ 19.00 ,2018,,,,Yes,,,,,,,,
There and Back Again,"Smoked Wagyu beef burger with prosciutto, pesto aioli, tomato relish and house pickles in a caramelised onion and garlic brioche bun, with handcut fries",Astoria Café, $ 23.00 ,2018,Yes,,,,,,,,,,,
What's The Matter My Deer?,"Venison with fermented kohlrabi, pickled mango and horopito in a Zaida's Bakery bun",Bambuchi, $ 22.00 ,2018,,,,,,,,,Yes,,,
Baoger,"Mini Angus beef patty, smoked cheddar, iceberg and chilli jam in a steamed bao bun, with kettle chips.",Bao Boy, $ 9.00 ,2018,Yes,,,,,,,,,,,
Who Killed Ferdinand?,"Panko-crumbed beef, chorizo, paprika and orange patty with Iberico cheese, mango and saffron salsa and caramelised Spanish jamón, with patatas bravas",Basque, $ 21.00 ,2018,Yes,,,,,,,,,,,
Pulp Fiction,"Wakanui Blue beef patty and melted edam in a housemade bun, with fries",Bastardo, $ 17.00 ,2018,Yes,,,,,,,,,,,
"Groovy Burger, Yeah!","Two custom blended beef patties"" with three-cheese fondue, iceberg, bacon jam, pickles and onion rings in a 'milk' bun, with cheese-fondue curly fries.",Beach Babylon, $ 25.00 ,2018,Yes,,,,,,,,,,,
The Crusty Crab,"Spicy soft-shell crab, pickled cucumber and seaweed salad, wild rocket, nam prik and furikake, with fries",Beach House and Kiosk, $ 25.00 ,2018,,,,,,Yes,,,,,,
